magnitude,cumulative_count,log10_count
5.0,8734,3.9412131875853214
5.1,6517,3.8140477209955996
5.2,4909,3.6909930320998696
5.3,3755,3.5746099413401873
5.4,2920,3.4653828514484184
5.5,2290,3.359835482339888
5.6,1776,3.249442961442582
5.7,1393,3.1439511164239633
5.8,1075,3.031408464251624
5.9,838,2.9232440186302764
6.0,653,2.814913181275074
6.1,522,2.717670503002262
6.2,387,2.5877109650189114
6.3,310,2.4913616938342726
6.4,242,2.383815365980431
6.5,197,2.294466226161593
6.6,166,2.220108088040055
6.7,134,2.1271047983648077
6.8,111,2.0453229787866576
6.9,91,1.9590413923210936
7.0,68,1.8325089127062364
7.1,48,1.6812412373755872
7.2,37,1.568201724066995
7.3,32,1.505149978319906
7.4,24,1.380211241711606
7.5,19,1.2787536009528289
7.6,14,1.146128035678238
7.7,8,0.9030899869919435
7.8,5,0.6989700043360189
7.9,3,0.47712125471966244
8.0,3,0.47712125471966244
8.1,3,0.47712125471966244
8.2,1,0.0
