region,event_count,avg_magnitude,max_magnitude,avg_depth_km,tsunami_warnings,total_felt_reports,cumulative_energy_joules
GLOBAL_OTHER,2986,3.8767998942990314,7.0,49.51214830380314,19,25869,7428778026008471.0
ALASKA,1499,2.8181254169446297,6.3,37.775527018012006,20,1881,372112334014804.2
SOUTH_PACIFIC,644,4.479347826086956,6.9,304.86598913043474,2,58,2761128141436485.5
CALIFORNIA,619,1.5670833260581847,5.22,6.203432314941264,8,96562,10764032524523.902
INDONESIA,450,4.499555555555555,6.1,75.72992444444445,0,526,574841411565638.0
JAPAN,333,4.496996996996997,7.1,78.93532732732733,0,628,3216292244715808.0
PHILIPPINES,243,4.577366255144033,7.1,61.8610329218107,2,297,4227331652759340.5
CHILE,218,4.362385321100917,7.4,82.43162385321101,1,477,8076755927381973.0
PUERTO_RICO,206,3.142961165048544,4.25,27.087912621359223,0,314,1393143786130.2617
HAWAII,200,2.5469,4.74,19.03632002647042,0,1203,1833303260309.849
MEXICO,156,3.447435897435897,5.9,24.213666025641025,0,696,151439647444078.66
NEW_ZEALAND,94,4.5212765957446805,5.9,44.13761702127659,0,248,127388533328208.56
MEDITERRANEAN,65,4.383076923076922,5.3,23.484523076923075,0,551,32343671986735.812
TURKEY,32,4.371875,6.0,12.066968750000001,0,532,72764796168439.48
ICELAND,5,4.54,5.1,10.0,0,0,5992843991159.539
